Demand Date-Time,Demand Confirmation Date-Time,Origin Station,Commodity,Wagon Units,Destination Station
22-01-2023 20:37,23-01-2023 09:04,K,CEMT,42,Y
13-04-2023 20:19,14-04-2023 06:04,H,CEMT,24,Q
19-06-2023 14:59,20-06-2023 01:02,E,CEMT,24,U
21-01-2023 16:38,22-01-2023 05:53,H,CEMT,58,R
04-03-2023 22:21,05-03-2023 06:08,D,CEMT,31,Z
14-11-2022 05:25,14-11-2022 11:03,E,CEMT,27,X
18-02-2023 04:39,18-02-2023 15:28,L,CEMT,22,Y
23-04-2023 23:52,24-04-2023 07:24,M,CEMT,22,R
08-05-2023 20:36,09-05-2023 10:51,C,CEMT,58,Z
20-06-2023 19:36,21-06-2023 03:36,A,CEMT,31,X
06-07-2023 11:09,06-07-2023 23:03,D,CEMT,21,V
09-10-2022 02:26,09-10-2022 15:59,J,CEMT,31,V
18-07-2023 18:04,19-07-2023 07:41,O,CEMT,27,S
19-06-2023 03:35,19-06-2023 17:51,K,CEMT,42,S
12-10-2022 23:22,13-10-2022 05:34,D,CEMT,42,Z
08-11-2022 12:17,09-11-2022 00:39,G,CEMT,27,S
22-03-2023 10:03,22-03-2023 16:23,K,CEMT,42,Q
29-07-2023 14:39,29-07-2023 22:20,E,CEMT,29,Q
05-07-2023 06:53,05-07-2023 13:19,B,CEMT,31,R
19-02-2023 09:43,19-02-2023 17:23,C,CEMT,27,V
28-10-2022 17:07,29-10-2022 06:17,C,CEMT,31,U
26-11-2022 12:09,27-11-2022 00:40,H,CEMT,29,X
22-10-2022 14:50,22-10-2022 21:16,B,CEMT,29,Q
19-03-2023 22:04,20-03-2023 04:32,E,CEMT,42,X
01-02-2023 08:27,01-02-2023 20:20,F,CEMT,24,X
03-06-2023 14:32,03-06-2023 21:56,B,CEMT,42,Y
05-06-2023 13:15,06-06-2023 02:35,A,CEMT,31,Z
06-05-2023 09:09,06-05-2023 18:06,A,CEMT,29,W
26-05-2023 05:36,26-05-2023 12:56,H,CEMT,24,X
24-03-2023 16:31,25-03-2023 05:37,M,CEMT,29,Y
18-08-2023 10:04,18-08-2023 18:54,M,CEMT,24,Y
18-06-2023 22:18,19-06-2023 06:06,F,CEMT,29,R
20-12-2022 12:30,20-12-2022 21:23,L,CEMT,42,Q
08-01-2023 17:05,09-01-2023 06:15,I,CEMT,29,V
12-12-2022 10:14,12-12-2022 19:49,H,CEMT,21,W
01-06-2023 15:00,01-06-2023 21:06,F,CEMT,31,Z
16-07-2023 02:36,16-07-2023 09:40,K,CEMT,21,P
28-06-2023 15:34,28-06-2023 23:32,B,CEMT,27,P
16-12-2022 01:56,16-12-2022 10:49,M,CEMT,31,U
07-12-2022 16:20,08-12-2022 01:35,A,CEMT,27,R
04-10-2022 20:03,05-10-2022 05:21,E,CEMT,21,R
30-12-2022 22:30,31-12-2022 10:58,G,CEMT,27,R
23-03-2023 03:49,23-03-2023 13:15,J,CEMT,31,S
28-08-2023 13:56,29-08-2023 01:10,N,CEMT,22,U
09-12-2022 00:14,09-12-2022 10:29,N,CEMT,42,V
10-03-2023 18:25,11-03-2023 00:57,G,CEMT,21,Q
28-04-2023 11:22,28-04-2023 21:27,C,CEMT,58,X
22-03-2023 21:48,23-03-2023 09:27,H,CEMT,58,R
31-05-2023 16:18,31-05-2023 22:27,A,CEMT,42,W
25-11-2022 06:33,25-11-2022 20:56,H,CEMT,31,X
20-08-2023 17:33,21-08-2023 06:12,E,CEMT,21,W
03-04-2023 21:14,04-04-2023 05:31,M,CEMT,27,S
30-01-2023 10:31,30-01-2023 23:54,D,CEMT,22,Q
11-01-2023 23:34,12-01-2023 13:05,L,CEMT,42,R
31-08-2023 01:33,31-08-2023 12:46,M,CEMT,27,V
23-03-2023 17:55,24-03-2023 08:16,G,CEMT,22,V
13-12-2022 07:54,13-12-2022 22:14,A,CEMT,42,T
04-03-2023 04:43,04-03-2023 18:42,D,CEMT,29,U
20-04-2023 08:36,21-04-2023 22:50,L,CEMT,42,T
22-10-2022 00:21,22-10-2022 06:39,A,CEMT,31,P
16-01-2023 04:15,18-01-2023 00:33,I,CEMT,29,X
19-06-2023 04:42,19-06-2023 15:57,L,CEMT,21,U
08-07-2023 17:33,09-07-2023 00:36,F,CEMT,31,S
07-07-2023 07:52,07-07-2023 16:52,C,CEMT,31,Z
26-02-2023 12:28,27-02-2023 00:47,C,CEMT,29,U
26-07-2023 06:52,26-07-2023 22:03,L,CEMT,31,V
19-10-2022 16:35,20-10-2022 03:48,I,CEMT,31,Z
23-08-2023 10:41,23-08-2023 18:51,N,CEMT,21,P
31-05-2023 01:57,31-05-2023 10:51,A,CEMT,24,Q
12-06-2023 04:34,12-06-2023 15:38,E,CEMT,24,Y
13-06-2023 18:50,15-06-2023 02:04,O,CEMT,21,Q
11-11-2022 16:30,12-11-2022 06:34,M,CEMT,42,W
21-02-2023 08:01,21-02-2023 17:35,A,CEMT,58,T
27-05-2023 03:10,27-05-2023 17:22,O,CEMT,31,U
16-08-2023 05:14,16-08-2023 14:51,N,CEMT,58,V
18-02-2023 11:36,18-02-2023 18:20,C,CEMT,21,U
01-06-2023 20:31,02-06-2023 03:39,E,CEMT,27,Q
03-12-2022 04:42,03-12-2022 17:57,N,CEMT,29,V
23-10-2022 01:32,23-10-2022 08:11,J,CEMT,58,X
12-05-2023 09:49,12-05-2023 21:32,A,CEMT,42,W
09-05-2023 20:57,10-05-2023 10:21,E,CEMT,24,T
18-04-2023 13:34,19-04-2023 02:58,N,CEMT,29,S
01-02-2023 20:14,02-02-2023 06:29,L,CEMT,21,S
30-03-2023 16:47,31-03-2023 04:17,M,CEMT,21,R
19-12-2022 16:15,20-12-2022 06:12,K,CEMT,21,S
08-01-2023 23:47,09-01-2023 12:03,K,CEMT,27,T
16-05-2023 04:22,16-05-2023 18:05,G,CEMT,31,Q
03-07-2023 04:16,03-07-2023 12:44,J,CEMT,29,Q
02-08-2023 10:26,02-08-2023 23:45,I,CEMT,27,Q
09-10-2022 22:49,10-10-2022 13:12,K,CEMT,31,S
26-08-2023 13:51,26-08-2023 20:59,F,CEMT,42,Z
07-04-2023 23:57,08-04-2023 08:52,H,CEMT,24,Q
26-06-2023 13:36,26-06-2023 22:56,A,CEMT,58,R
03-07-2023 13:52,04-07-2023 01:28,N,CEMT,58,S
07-07-2023 12:20,07-07-2023 18:44,N,CEMT,42,P
29-01-2023 03:43,29-01-2023 17:04,K,CEMT,42,P
23-02-2023 04:41,23-02-2023 16:00,F,CEMT,24,R
08-06-2023 18:06,09-06-2023 04:20,A,CEMT,58,Z
16-06-2023 23:11,17-06-2023 05:09,E,CEMT,58,Q
27-12-2022 01:49,27-12-2022 12:08,F,CEMT,27,S
06-04-2023 03:06,06-04-2023 16:36,A,CEMT,21,W
28-12-2022 23:44,29-12-2022 13:22,O,CEMT,27,Q
14-10-2022 16:21,15-10-2022 03:38,E,CEMT,42,Z
23-05-2023 07:04,23-05-2023 12:38,J,CEMT,24,S
23-01-2023 02:15,23-01-2023 08:03,F,CEMT,24,V
05-03-2023 12:44,05-03-2023 19:22,L,CEMT,27,R
04-07-2023 03:25,04-07-2023 11:07,I,CEMT,58,T
05-12-2022 12:25,06-12-2022 01:35,N,CEMT,27,Z
29-11-2022 17:39,30-11-2022 00:05,H,CEMT,31,X
03-06-2023 17:53,04-06-2023 00:20,A,CEMT,42,T
02-01-2023 20:12,03-01-2023 09:39,H,CEMT,29,W
24-02-2023 14:44,24-02-2023 20:27,F,CEMT,29,Y
22-11-2022 21:20,24-11-2022 20:51,J,CEMT,27,S
06-05-2023 20:35,07-05-2023 07:11,O,CEMT,27,V
26-11-2022 11:16,27-11-2022 01:26,G,CEMT,58,U
22-03-2023 14:20,23-03-2023 01:35,A,CEMT,31,P
10-11-2022 13:25,11-11-2022 02:09,O,CEMT,29,U
28-02-2023 03:39,28-02-2023 13:15,E,CEMT,29,Z
28-03-2023 09:38,28-03-2023 22:45,I,CEMT,58,R
17-03-2023 20:47,18-03-2023 06:00,D,CEMT,21,S
05-01-2023 13:18,05-01-2023 23:50,K,CEMT,58,T
14-11-2022 21:55,15-11-2022 05:10,K,CEMT,24,T
06-10-2022 23:47,07-10-2022 12:25,J,CEMT,24,R
26-07-2023 05:10,26-07-2023 11:33,H,CEMT,42,Z
01-01-2023 17:46,02-01-2023 05:52,B,CEMT,22,V
29-05-2023 01:44,29-05-2023 09:10,M,CEMT,27,U
02-05-2023 16:49,02-05-2023 23:51,A,CEMT,31,R
14-11-2022 19:06,15-11-2022 06:18,I,CEMT,58,Z
12-05-2023 15:35,13-05-2023 03:39,D,CEMT,29,Q
07-04-2023 09:27,07-04-2023 21:05,G,CEMT,29,Q
31-12-2022 14:32,31-12-2022 22:53,L,CEMT,24,R
01-11-2022 21:20,02-11-2022 02:51,D,CEMT,42,Z
05-10-2022 12:27,05-10-2022 21:56,B,CEMT,27,Z
24-10-2022 23:36,25-10-2022 09:04,D,CEMT,29,R
07-12-2022 18:41,08-12-2022 01:56,J,CEMT,24,T
27-04-2023 10:48,28-04-2023 11:13,E,CEMT,27,R
17-05-2023 13:59,18-05-2023 01:41,N,CEMT,27,U
08-05-2023 09:45,08-05-2023 22:00,E,CEMT,42,P
17-06-2023 18:44,18-06-2023 08:17,N,CEMT,21,P
30-06-2023 12:49,30-06-2023 18:56,C,CEMT,22,S
14-10-2022 18:08,14-10-2022 23:45,E,CEMT,27,U
02-08-2023 09:38,02-08-2023 23:43,H,CEMT,42,V
04-11-2022 14:45,05-11-2022 04:25,I,CEMT,58,Q
28-08-2023 18:06,28-08-2023 23:40,E,CEMT,42,P
03-01-2023 06:53,03-01-2023 15:44,K,CEMT,27,R
23-06-2023 00:16,23-06-2023 09:31,L,CEMT,24,Q
18-01-2023 14:22,19-01-2023 03:00,M,CEMT,31,Z
24-10-2022 03:55,24-10-2022 10:49,O,CEMT,21,Z
27-03-2023 14:32,27-03-2023 21:13,G,CEMT,58,Y
14-11-2022 19:38,15-11-2022 08:05,C,CEMT,42,Z
20-12-2022 03:24,20-12-2022 11:33,L,CEMT,31,S
29-06-2023 17:57,30-06-2023 00:34,K,CEMT,24,Q
14-06-2023 08:58,14-06-2023 19:17,N,CEMT,21,R
14-08-2023 23:13,15-08-2023 04:48,H,CEMT,58,U
19-03-2023 07:04,19-03-2023 13:28,L,CEMT,21,Y
11-04-2023 21:13,12-04-2023 11:12,L,CEMT,31,R
22-12-2022 22:08,23-12-2022 03:38,I,CEMT,21,S
27-05-2023 07:15,27-05-2023 21:17,K,CEMT,58,Q
19-03-2023 08:51,19-03-2023 23:07,G,CEMT,21,U
04-05-2023 01:12,04-05-2023 10:58,C,CEMT,22,R
13-06-2023 03:54,13-06-2023 10:21,G,CEMT,21,W
18-03-2023 23:12,19-03-2023 12:06,G,CEMT,22,Z
27-08-2023 08:58,27-08-2023 22:34,H,CEMT,22,X
11-01-2023 23:12,12-01-2023 05:14,C,CEMT,42,Z
09-02-2023 07:43,09-02-2023 21:57,J,CEMT,24,U
09-07-2023 23:42,10-07-2023 12:16,F,CEMT,24,P
01-04-2023 23:21,02-04-2023 05:28,D,CEMT,27,X
27-06-2023 02:45,27-06-2023 15:04,J,CEMT,58,Q
10-10-2022 20:47,11-10-2022 10:49,K,CEMT,21,X
16-03-2023 18:18,17-03-2023 02:33,G,CEMT,58,W
11-11-2022 16:25,12-11-2022 04:26,J,CEMT,31,R
03-04-2023 01:42,03-04-2023 11:23,C,CEMT,31,S
27-07-2023 20:49,28-07-2023 07:07,H,CEMT,22,U
15-05-2023 14:18,15-05-2023 21:18,O,CEMT,22,V
16-07-2023 02:02,16-07-2023 14:12,H,CEMT,29,R
12-10-2022 09:39,12-10-2022 21:57,C,CEMT,21,S
02-07-2023 02:08,02-07-2023 08:36,L,CEMT,22,Q
12-02-2023 22:14,13-02-2023 10:10,L,CEMT,27,W
02-07-2023 12:49,03-07-2023 03:07,K,CEMT,21,X
21-03-2023 13:16,21-03-2023 20:29,O,CEMT,22,R
18-03-2023 17:23,18-03-2023 22:56,J,CEMT,27,T
23-10-2022 10:16,23-10-2022 19:54,B,CEMT,27,R
07-10-2022 03:41,08-10-2022 04:48,A,CEMT,31,W
25-12-2022 14:55,25-12-2022 22:25,F,CEMT,42,Q
18-04-2023 00:40,18-04-2023 07:09,A,CEMT,42,X
04-05-2023 08:18,04-05-2023 18:27,M,CEMT,29,Z
20-04-2023 14:13,21-04-2023 02:07,B,CEMT,22,P
02-04-2023 03:12,02-04-2023 10:11,N,CEMT,58,T
31-05-2023 23:54,01-06-2023 13:20,F,CEMT,29,W
27-12-2022 22:21,28-12-2022 09:34,M,CEMT,24,X
27-07-2023 14:56,28-07-2023 02:19,F,CEMT,29,X
15-10-2022 03:16,15-10-2022 14:19,E,CEMT,42,Z
07-07-2023 21:35,08-07-2023 03:30,F,CEMT,29,V
29-03-2023 18:39,30-03-2023 08:25,C,CEMT,58,X
30-07-2023 13:54,31-07-2023 01:40,F,CEMT,22,R
03-10-2022 16:36,04-10-2022 03:32,K,CEMT,21,T
12-06-2023 14:36,12-06-2023 22:58,I,CEMT,24,U
21-12-2022 01:27,21-12-2022 09:18,L,CEMT,42,X
20-01-2023 01:36,20-01-2023 07:16,G,CEMT,27,Y
08-03-2023 01:51,08-03-2023 09:41,A,CEMT,21,Z
31-07-2023 12:45,01-08-2023 02:58,O,CEMT,29,P
30-05-2023 02:41,30-05-2023 10:07,A,CEMT,27,Q
05-01-2023 20:09,06-01-2023 06:18,A,CEMT,21,W
17-10-2022 00:00,17-10-2022 08:00,N,CEMT,42,U
29-05-2023 00:15,29-05-2023 07:41,N,CEMT,21,T
04-01-2023 22:07,05-01-2023 12:14,C,CEMT,29,X
26-02-2023 11:27,26-02-2023 20:44,C,CEMT,31,Q
28-01-2023 02:21,28-01-2023 15:15,D,CEMT,29,Z
17-01-2023 08:45,17-01-2023 18:34,L,CEMT,31,Q
29-10-2022 20:35,30-10-2022 10:02,L,CEMT,27,W
23-06-2023 21:49,24-06-2023 11:18,L,CEMT,29,Y
09-04-2023 04:54,09-04-2023 15:31,I,CEMT,21,Z
13-10-2022 08:45,13-10-2022 21:14,K,CEMT,29,V
16-08-2023 00:48,16-08-2023 10:20,J,CEMT,21,R
24-08-2023 19:32,25-08-2023 01:39,K,CEMT,24,W
22-03-2023 04:12,22-03-2023 18:11,O,CEMT,29,U
22-04-2023 05:45,22-04-2023 17:20,B,CEMT,21,U
07-06-2023 04:27,07-06-2023 14:23,J,CEMT,31,P
20-08-2023 23:11,21-08-2023 04:52,M,CEMT,21,Y
10-01-2023 22:21,11-01-2023 11:00,O,CEMT,21,W
17-08-2023 21:04,18-08-2023 03:36,G,CEMT,24,U
22-03-2023 13:38,22-03-2023 22:22,N,CEMT,58,Q
29-01-2023 14:44,30-01-2023 03:32,J,CEMT,27,S
26-06-2023 16:51,26-06-2023 22:42,K,CEMT,29,Z
05-03-2023 14:51,05-03-2023 21:41,I,CEMT,29,X
09-02-2023 17:49,10-02-2023 06:01,E,CEMT,22,Q
04-11-2022 22:10,05-11-2022 12:26,L,CEMT,58,P
07-06-2023 16:40,08-06-2023 04:17,A,CEMT,29,R
09-03-2023 01:11,09-03-2023 09:00,I,CEMT,58,X
03-10-2022 16:07,04-10-2022 06:30,N,CEMT,24,S
29-01-2023 22:47,30-01-2023 13:08,G,CEMT,31,Q
02-10-2022 23:41,03-10-2022 08:51,J,CEMT,22,P
28-08-2023 16:43,29-08-2023 00:54,J,CEMT,21,Q
28-08-2023 19:30,29-08-2023 03:00,B,CEMT,58,S
17-05-2023 10:56,17-05-2023 21:50,E,CEMT,58,V
24-07-2023 15:03,25-07-2023 04:19,B,CEMT,31,Y
09-03-2023 16:45,10-03-2023 03:12,O,CEMT,29,Q
10-03-2023 10:16,10-03-2023 21:50,F,CEMT,31,V
05-12-2022 15:54,06-12-2022 05:09,N,CEMT,22,V
20-02-2023 14:07,21-02-2023 02:37,E,CEMT,27,S
09-04-2023 04:14,09-04-2023 13:56,M,CEMT,24,V
23-12-2022 08:39,23-12-2022 17:59,N,CEMT,42,X
06-06-2023 21:07,07-06-2023 09:24,C,CEMT,42,V
24-07-2023 17:45,25-07-2023 00:39,D,CEMT,42,Z
08-04-2023 09:03,08-04-2023 20:10,E,CEMT,21,V
15-03-2023 23:58,16-03-2023 13:51,E,CEMT,21,Z
29-06-2023 03:18,29-06-2023 11:42,C,CEMT,24,S
16-11-2022 03:45,16-11-2022 17:16,J,CEMT,29,U
23-03-2023 04:06,23-03-2023 12:16,J,CEMT,27,P
12-12-2022 23:45,13-12-2022 07:22,D,CEMT,58,Q
22-05-2023 13:50,22-05-2023 19:51,G,CEMT,22,Y
06-04-2023 04:07,06-04-2023 11:43,B,CEMT,29,X
17-03-2023 12:24,17-03-2023 23:18,E,CEMT,58,U
10-07-2023 10:49,11-07-2023 00:59,B,CEMT,27,V
15-11-2022 04:45,15-11-2022 18:51,E,CEMT,24,T
11-10-2022 10:59,13-10-2022 01:17,A,CEMT,27,Q
08-06-2023 03:45,08-06-2023 14:12,O,CEMT,42,S
15-02-2023 15:32,16-02-2023 01:11,I,CEMT,24,Q
30-10-2022 16:48,31-10-2022 06:22,I,CEMT,29,V
18-06-2023 03:53,18-06-2023 16:35,O,CEMT,58,X
30-05-2023 05:11,30-05-2023 18:42,B,CEMT,31,W
28-11-2022 04:45,28-11-2022 18:04,E,CEMT,27,T
27-10-2022 09:01,27-10-2022 22:39,K,CEMT,22,Z
15-07-2023 00:57,15-07-2023 11:38,M,CEMT,31,S
12-03-2023 02:23,12-03-2023 13:52,E,CEMT,21,V
12-11-2022 11:01,12-11-2022 20:10,M,CEMT,27,Q
13-01-2023 02:40,13-01-2023 08:29,E,CEMT,29,V
18-02-2023 01:01,18-02-2023 12:23,L,CEMT,21,U
24-07-2023 13:33,24-07-2023 20:42,O,CEMT,42,W
07-03-2023 01:19,07-03-2023 10:58,L,CEMT,31,Y
14-04-2023 11:04,15-04-2023 00:23,A,CEMT,42,X
07-01-2023 11:48,07-01-2023 17:21,K,CEMT,22,W
13-03-2023 02:27,13-03-2023 11:27,L,CEMT,58,U
29-05-2023 09:38,30-05-2023 12:04,M,CEMT,42,P
29-07-2023 00:05,30-07-2023 18:05,H,CEMT,27,U
20-05-2023 03:00,20-05-2023 14:22,N,CEMT,21,S
11-06-2023 07:14,11-06-2023 18:20,L,CEMT,29,V
16-07-2023 21:51,17-07-2023 09:38,I,CEMT,42,R
17-06-2023 15:03,18-06-2023 05:31,K,CEMT,31,X
30-04-2023 13:23,30-04-2023 21:10,F,CEMT,42,R
01-05-2023 12:12,01-05-2023 23:10,G,CEMT,29,V
23-02-2023 05:58,23-02-2023 13:15,M,CEMT,42,Z
19-01-2023 18:41,20-01-2023 06:45,F,CEMT,29,R
07-10-2022 18:09,08-10-2022 05:47,J,CEMT,42,W
17-01-2023 15:23,18-01-2023 02:56,F,CEMT,42,V
21-04-2023 01:26,21-04-2023 13:17,B,CEMT,29,R
31-01-2023 03:44,31-01-2023 12:36,M,CEMT,29,Y
08-01-2023 21:03,09-01-2023 10:37,M,CEMT,29,U
17-02-2023 21:18,18-02-2023 06:10,H,CEMT,31,Y
15-10-2022 17:26,16-10-2022 07:16,F,CEMT,22,X
18-08-2023 21:11,19-08-2023 03:32,K,CEMT,31,W
17-11-2022 14:01,18-11-2022 03:28,C,CEMT,58,X
06-10-2022 16:25,07-10-2022 06:15,I,CEMT,22,Z
04-01-2023 10:30,04-01-2023 22:46,A,CEMT,21,Q
08-12-2022 23:16,09-12-2022 10:55,A,CEMT,42,R
02-02-2023 08:39,02-02-2023 18:46,J,CEMT,21,X
22-02-2023 02:29,22-02-2023 14:59,J,CEMT,21,U
14-06-2023 21:33,15-06-2023 03:39,C,CEMT,29,Y
05-01-2023 00:44,05-01-2023 10:25,J,CEMT,24,S
24-07-2023 07:52,24-07-2023 16:07,L,CEMT,22,W
17-04-2023 18:06,18-04-2023 00:44,O,CEMT,29,Q
20-07-2023 22:44,22-07-2023 13:46,K,CEMT,24,T
13-07-2023 19:50,14-07-2023 09:24,A,CEMT,58,Z
16-05-2023 23:06,17-05-2023 08:53,O,CEMT,24,W
21-07-2023 06:13,21-07-2023 15:52,D,CEMT,21,T
09-10-2022 21:30,10-10-2022 11:35,F,CEMT,21,Q
30-11-2022 22:07,01-12-2022 06:34,B,CEMT,24,Y
31-03-2023 22:09,01-04-2023 08:42,B,CEMT,29,W
10-10-2022 23:06,12-10-2022 07:36,C,CEMT,31,V
24-10-2022 01:02,24-10-2022 08:53,L,CEMT,31,Z
22-04-2023 20:37,23-04-2023 07:13,F,CEMT,58,Z
20-10-2022 22:36,21-10-2022 11:00,A,CEMT,21,W
28-08-2023 12:29,28-08-2023 22:40,C,CEMT,31,Q
07-11-2022 07:43,07-11-2022 19:52,I,CEMT,58,U
18-03-2023 23:11,19-03-2023 10:53,I,CEMT,21,W
12-08-2023 02:31,12-08-2023 13:42,F,CEMT,42,V
24-12-2022 20:58,25-12-2022 08:15,B,CEMT,22,Z
01-02-2023 12:08,01-02-2023 21:09,E,CEMT,24,S
14-04-2023 00:28,14-04-2023 08:56,D,CEMT,21,U
22-08-2023 08:51,22-08-2023 21:53,M,CEMT,29,X
24-03-2023 18:06,24-03-2023 23:49,M,CEMT,24,X
07-06-2023 06:17,07-06-2023 15:19,D,CEMT,58,W
25-01-2023 18:24,26-01-2023 07:05,L,CEMT,21,Q
02-12-2022 02:56,02-12-2022 12:38,F,CEMT,22,R
10-04-2023 20:08,11-04-2023 05:29,E,CEMT,24,S
27-06-2023 08:26,27-06-2023 18:31,I,CEMT,42,U
29-03-2023 08:39,29-03-2023 18:58,K,CEMT,58,Y
03-08-2023 16:25,04-08-2023 03:16,B,CEMT,21,Y
25-06-2023 16:36,26-06-2023 02:28,L,CEMT,42,V
06-01-2023 16:37,07-01-2023 01:05,D,CEMT,21,Y
28-12-2022 01:00,28-12-2022 13:40,N,CEMT,29,U
12-11-2022 16:50,13-11-2022 04:28,M,CEMT,27,S
03-02-2023 14:43,04-02-2023 02:41,A,CEMT,22,R
06-07-2023 03:52,06-07-2023 11:43,A,CEMT,22,Q
04-12-2022 16:10,05-12-2022 05:27,C,CEMT,42,V
14-10-2022 05:04,14-10-2022 12:19,D,CEMT,24,Z
29-08-2023 13:42,30-08-2023 00:27,A,CEMT,42,U
05-04-2023 05:40,05-04-2023 12:14,J,CEMT,58,R
06-01-2023 02:00,06-01-2023 16:16,G,CEMT,27,T
14-06-2023 14:05,15-06-2023 03:31,B,CEMT,22,Y
30-05-2023 19:00,31-05-2023 09:07,B,CEMT,29,P
28-11-2022 02:16,28-11-2022 16:33,K,CEMT,27,P
05-12-2022 04:23,05-12-2022 13:22,L,CEMT,21,V
22-05-2023 15:19,23-05-2023 03:38,K,CEMT,24,W
02-03-2023 16:57,03-03-2023 00:08,E,CEMT,22,X
06-10-2022 02:50,06-10-2022 09:35,B,CEMT,27,P
03-05-2023 16:44,04-05-2023 04:03,A,CEMT,58,S
09-10-2022 03:07,09-10-2022 15:38,H,CEMT,21,Q
10-02-2023 03:55,10-02-2023 12:04,K,CEMT,58,W
06-11-2022 08:55,06-11-2022 18:20,C,CEMT,22,Z
22-05-2023 09:53,23-05-2023 00:22,B,CEMT,31,Y
08-06-2023 06:08,08-06-2023 11:42,L,CEMT,22,Y
12-02-2023 00:49,12-02-2023 16:15,D,CEMT,27,W
13-11-2022 09:19,13-11-2022 20:03,D,CEMT,58,W
01-01-2023 22:37,02-01-2023 12:28,E,CEMT,31,P
26-10-2022 19:09,27-10-2022 06:49,A,CEMT,22,T
29-04-2023 09:12,29-04-2023 16:02,K,CEMT,21,U
15-10-2022 06:44,15-10-2022 19:56,J,CEMT,31,Z
08-10-2022 19:30,09-10-2022 01:30,F,CEMT,21,T
09-11-2022 14:03,09-11-2022 19:48,H,CEMT,21,Z
31-08-2023 00:30,01-09-2023 20:36,A,CEMT,31,S
12-06-2023 13:34,13-06-2023 00:53,B,CEMT,58,T
16-04-2023 16:39,17-04-2023 04:42,N,CEMT,29,X
30-08-2023 17:26,31-08-2023 07:36,A,CEMT,31,Q
16-08-2023 11:39,16-08-2023 20:48,B,CEMT,27,P
07-04-2023 20:54,08-04-2023 03:18,D,CEMT,22,X
27-11-2022 14:54,28-11-2022 00:00,C,CEMT,31,Z
18-10-2022 17:26,19-10-2022 04:37,O,CEMT,29,Q
20-11-2022 06:43,21-11-2022 03:42,D,CEMT,29,W
15-11-2022 01:35,15-11-2022 15:19,K,CEMT,42,P
15-06-2023 12:13,16-06-2023 01:17,I,CEMT,42,Q
09-10-2022 20:11,10-10-2022 09:18,K,CEMT,27,T
06-02-2023 13:29,07-02-2023 01:16,C,CEMT,42,P
18-01-2023 14:44,19-01-2023 04:50,I,CEMT,58,Q
01-06-2023 04:57,01-06-2023 15:05,N,CEMT,58,T
12-03-2023 17:28,13-03-2023 07:42,L,CEMT,27,W
07-05-2023 06:58,07-05-2023 13:00,C,CEMT,21,X
18-07-2023 18:19,19-07-2023 04:50,F,CEMT,22,R
